id_text,provenience,height,width,thickness,features,scaled_features,cluster,distance,anomaly
236143,Isin (mod. Bahriyat) ?,41.0,34.0,15.0,"[41.0,34.0,15.0]","[-0.6076954221632518,-0.7137357526179888,-1.057781184489562]",0,0.474878047649623,0
236144,Isin (mod. Bahriyat) ?,38.0,33.0,15.0,"[38.0,33.0,15.0]","[-0.7332831506342005,-0.8020469128671988,-1.057781184489562]",0,0.5008289169556315,0
236145,Isin (mod. Bahriyat) ?,34.0,27.0,18.0,"[34.0,27.0,18.0]","[-0.900733455262132,-1.3319138743624586,-0.5762275681603855]",0,0.7345006525348382,0
236146,Isin (mod. Bahriyat) ?,33.0,35.0,19.0,"[33.0,35.0,19.0]","[-0.9425960314191149,-0.6254245923687788,-0.41570969605066]",0,0.3396256405344228,0
236147,Isin (mod. Bahriyat) ?,31.0,27.0,15.0,"[31.0,27.0,15.0]","[-1.0263211837330806,-1.3319138743624586,-1.057781184489562]",0,0.9142388629752669,0
236148,Isin (mod. Bahriyat) ?,33.0,31.0,17.0,"[33.0,31.0,17.0]","[-0.9425960314191149,-0.9786692333656187,-0.736745440270111]",0,0.4689324534689113,0
236149,Isin (mod. Bahriyat) ?,35.0,30.0,15.0,"[35.0,30.0,15.0]","[-0.858870879105149,-1.0669803936148288,-1.057781184489562]",0,0.6652593509520172,0
236150,Isin (mod. Bahriyat) ?,31.0,29.0,14.0,"[31.0,29.0,14.0]","[-1.0263211837330806,-1.1552915538640387,-1.2182990565992875]",0,0.8937112747488792,0
236151,Isin (mod. Bahriyat) ?,33.0,29.0,15.0,"[33.0,29.0,15.0]","[-0.9425960314191149,-1.1552915538640387,-1.057781184489562]",0,0.7531780372740753,0
236152,Isin (mod. Bahriyat) ?,33.0,29.0,17.0,"[33.0,29.0,17.0]","[-0.9425960314191149,-1.1552915538640387,-0.736745440270111]",0,0.608580946901253,0
236153,Isin (mod. Bahriyat) ?,30.0,29.0,15.0,"[30.0,29.0,15.0]","[-1.0681837598900634,-1.1552915538640387,-1.057781184489562]",0,0.8099826411571595,0
236154,Isin (mod. Bahriyat) ?,34.0,29.0,16.0,"[34.0,29.0,16.0]","[-0.900733455262132,-1.1552915538640387,-0.8972633123798365]",0,0.6484363000303293,0
236155,Isin (mod. Bahriyat) ?,37.0,30.0,15.0,"[37.0,30.0,15.0]","[-0.7751457267911833,-1.0669803936148288,-1.057781184489562]",0,0.6441413486325434,0
236156,Isin (mod. Bahriyat) ?,40.0,33.0,16.0,"[40.0,33.0,16.0]","[-0.6495579983202346,-0.8020469128671988,-0.8972633123798365]",0,0.34639312885933243,0
